,0,1,2,3
0,Left_Mesrd_to_Theo_Slope,Left_Mesrd_to_Theo_Intcpt,Right_Mesrd_to_Theo_Slope,Right_Mesrd_to_Theo_Intcpt
1,1.1865983475866069,2.8965731910244585,1.2774344730068299,3.7067604528542404
